,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag,calc_temp,distance,have_life
2816,Kepler-1681 b,Kepler-1681,1,1,Transit,2020,69.8956,0.32,2.553,0.228,7.05,0.0222,M-R relationship,2.33,0.0,5.33,442.0,0,,5756.4,0.76,0.89,-0.293,4.54,758.3,14.5565,119.10183892847823,0.4483838671808021,No
2817,Kepler-1682 b,Kepler-1682,1,1,Transit,2020,14.8334,0.1134,2.889,0.258,8.7,0.0274,M-R relationship,1.98,0.0,54.74,694.0,0,,5619.12,0.84,0.99,-0.196,4.58,1159.85,15.678,403.0631925962366,0.14210620923835657,No
2818,Kepler-1683 b,Kepler-1683,1,1,Transit,2020,15.0337,0.1182,1.875,0.167,4.17,0.0131,M-R relationship,3.48,0.0,47.32,669.0,0,,5429.0,0.9,0.95,-0.198,4.51,733.143,14.8429,389.24123168877827,0.1484627417087342,No
2819,Kepler-1684 b,Kepler-1684,1,1,Transit,2020,47.7055,0.2253,2.871,0.256,8.6,0.0271,M-R relationship,2.0,0.0,3.42,347.0,0,,4706.54,0.67,0.75,-0.707,4.67,621.996,15.765,85.72299266876058,0.5084651497855249,No
2820,Kepler-1685 b,Kepler-1685,1,1,Transit,2020,20.4905,0.1485,2.577,0.23,7.16,0.0225,M-R relationship,2.3,0.0,36.01,625.0,0,,5484.0,0.84,0.96,-0.245,4.58,1141.89,15.906,303.55813704939703,0.19689126698744303,No
2821,Kepler-1686 b,Kepler-1686,1,1,Transit,2020,9.30987,0.0866,1.426,0.127,2.62,0.00825,M-R relationship,4.97,0.0,164.38,913.0,0,,5714.96,1.2,1.02,0.141,4.29,729.823,13.7519,667.4978969375609,0.07362374283003204,No
2822,Kepler-1687 b,Kepler-1687,1,1,Transit,2020,5.77954,0.0532,1.656,0.148,3.38,0.0106,M-R relationship,4.09,0.0,30.22,598.0,0,,4132.0,0.73,0.65,-0.859,4.53,417.014,15.473,403.6309778300513,0.14302489325103537,No
2823,Kepler-1688 b,Kepler-1688,1,1,Transit,2020,5.62012,0.0577,1.262,0.113,2.13,0.0067,M-R relationship,5.83,0.0,84.01,772.0,0,,4632.11,0.75,0.81,-0.636,4.6,567.4468709,13.9862,465.2706037507712,0.11999849884588325,No
2824,Kepler-1689 b,Kepler-1689,1,1,Transit,2020,8.483,0.0798,0.947,0.084,0.799,0.00251,M-R relationship,5.17,0.0,141.04,879.0,0,,5731.43,1.0,1.02,-0.016,4.45,294.122,12.1077,623.9560049273642,0.08128359276671852,No
2825,Kepler-169 b,Kepler-169,1,5,Transit,2014,3.250619,0.04,1.13,0.101,1.51,0.00474,M-R relationship,5.75,0.0,195.22,962.0,0,,4997.0,0.76,0.84,-0.496,4.58,406.529,14.1617,689.943311368483,0.07080435833269684,No
2826,Kepler-169 c,Kepler-169,1,5,Transit,2014,6.195469,0.062,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0.0,82.85,776.0,0,,4997.0,0.76,0.84,-0.496,4.58,406.529,14.1617,500.42516322787844,0.1097467554156801,No
2827,Kepler-169 d,Kepler-169,1,5,Transit,2014,8.348125,0.075,1.25,0.112,2.1,0.0066,M-R relationship,5.91,0.0,55.53,702.0,0,,4997.0,0.76,0.84,-0.496,4.58,406.529,14.1617,430.19390882515313,0.13275817187380656,No
2828,Kepler-169 e,Kepler-169,1,5,Transit,2014,13.767102,0.105,2.2,0.196,5.48,0.0172,M-R relationship,2.83,0.0,28.55,595.0,0,,4997.0,0.76,0.84,-0.496,4.58,406.529,14.1617,321.284097080964,0.1858614406233292,No
2829,Kepler-169 f,Kepler-169,1,5,Transit,2014,87.090195,0.359,2.58,0.23,7.18,0.0226,M-R relationship,2.3,0.0,2.44,321.0,0,,4997.0,0.76,0.84,-0.496,4.58,406.529,14.1617,48.327911387471886,0.6354691160359541,No
2830,Kepler-1690 b,Kepler-1690,1,1,Transit,2020,234.636,0.7097,2.811,0.251,8.3,0.0261,M-R relationship,2.05,0.0,1.2,267.0,0,,5404.0,0.86,0.94,-0.243,4.54,703.789,14.6417,-10.117519735901965,0.9388037273746507,No
2831,Kepler-1691 b,Kepler-1691,1,1,Transit,2020,3.8482,0.0495,1.835,0.164,4.02,0.0127,M-R relationship,3.58,0.0,641.53,1283.0,0,,6000.0,1.13,1.11,0.175,4.38,1267.67,14.8807,994.4145636932207,0.04046739037821068,No
2832,Kepler-1692 b,Kepler-1692,1,1,Transit,2020,5.95966,0.0646,1.112,0.099,1.42,0.00447,M-R relationship,5.68,0.0,153.48,897.0,0,,5146.0,0.87,0.87,-0.324,4.5,591.019,14.5049,561.8670935750962,0.09380641049616817,No
2833,Kepler-1693 b,Kepler-1693,1,2,Transit,2020,12.0999,0.1011,1.289,0.115,2.21,0.00695,M-R relationship,5.67,0.0,100.37,807.0,0,,5432.34,0.88,0.95,-0.218,4.53,760.065,14.7438,435.5051031160664,0.12994248132029954,No
2834,Kepler-1693 c,Kepler-1693,1,2,Transit,2021,5.36370993,0.0588,0.977,0.087,0.894,0.00281,M-R relationship,5.27,0.0,296.73,1059.0,0,,5553.0,1.1,0.94,-0.218,4.33,760.065,14.7438,788.8330124875996,0.07557485560468459,No
2835,Kepler-1694 b,Kepler-1694,1,1,Transit,2020,3.89526,0.0449,1.18,0.105,1.76,0.00553,M-R relationship,5.89,0.0,197.66,956.0,0,,4954.0,0.76,0.82,-0.508,4.59,513.329,14.7519,628.0513729560978,0.08058353984478045,No
2836,Kepler-1695 b,Kepler-1695,1,1,Transit,2020,4.7329,0.0529,1.119,0.1,1.46,0.00458,M-R relationship,5.72,0.0,198.57,957.0,0,,5473.19,0.99,0.96,-0.104,4.43,791.175,14.6234,773.7676047589335,0.059628745431684504,No
2837,Kepler-1696 b,Kepler-1696,1,1,Transit,2020,65.9409,0.3244,2.81,0.251,8.29,0.0261,M-R relationship,2.05,0.0,10.04,454.0,0,,5712.0,1.2,1.02,0.139,4.29,1506.36,15.4879,212.60873155436707,0.2764272450914222,No
2838,Kepler-1697 b,Kepler-1697,1,1,Transit,2020,33.4969,0.2008,1.26,0.112,2.12,0.00668,M-R relationship,5.83,0.0,37.3,630.0,0,,4681.53,0.77,0.75,-0.588,4.54,247.771,13.3622,132.20313472930786,0.3951515669731344,No
2839,Kepler-1698 b,Kepler-1698,1,1,Transit,2020,1.2107,0.0203,1.073,0.096,1.25,0.00394,M-R relationship,5.56,0.0,784.51,1351.0,0,,4975.03,0.74,0.82,-0.518,4.61,222.345,12.8761,1054.9958257008166,0.03685496795429465,No
2840,Kepler-1699 b,Kepler-1699,1,1,Transit,2020,3.49082,0.0418,1.567,0.14,3.08,0.00968,M-R relationship,4.4,0.0,245.65,1010.0,0,,5575.53,0.73,0.81,-0.339,4.62,818.759,14.6614,757.0977219943237,0.06175559093044585,No
2841,Kepler-17 b,Kepler-17,1,1,Transit,2011,1.4857108,0.02591,14.68,1.31,778.65,2.45,Mass,1.35,0.011,1481.77,1570.0,1,G2 V,5781.0,1.01,1.04,0.012,4.45,720.753,14.1311,1322.7738557313842,0.02555450147270466,No
2842,Kepler-170 b,Kepler-170,1,2,Transit,2014,7.930592,0.08,3.2,0.285,82.6,0.26,Mass,13.9,0.0,136.52,899.0,0,,5679.0,1.03,1.09,-0.055,4.45,738.657,14.3469,627.8560441634422,0.08522950909340507,No
2843,Kepler-170 c,Kepler-170,1,2,Transit,2014,16.665863,0.131,2.86,0.255,8.55,0.0269,M-R relationship,2.01,0.0,50.68,702.0,0,,5679.0,1.03,1.09,-0.055,4.45,738.657,14.3469,430.9543866134321,0.1395633211404508,No
2844,Kepler-1700 b,Kepler-1700,1,1,Transit,2020,234.239,0.7576,2.901,0.259,8.76,0.0276,M-R relationship,1.97,0.0,2.77,329.0,0,,6031.0,1.09,1.12,0.154,4.41,717.597,13.6285,46.713592937489864,0.6345121841393262,No
2845,Kepler-1701 b,Kepler-1701,1,1,Transit,2020,169.134,0.5608,2.222,0.198,5.57,0.0175,M-R relationship,2.79,0.0,1.31,273.0,0,,5146.0,0.84,0.87,-0.351,4.53,584.142,14.5504,5.3259147601145855,0.840055549107567,No
2846,Kepler-1702 b,Kepler-1702,1,1,Transit,2020,18.5012,0.1275,1.602,0.143,3.2,0.0101,M-R relationship,4.28,0.0,22.4,555.0,0,,5093.0,0.73,0.85,-0.496,4.65,857.14,15.7743,265.6929817026837,0.2256888921854712,No
2847,Kepler-1704 b,Kepler-1704,1,1,Transit,2013,988.88112,2.027,11.949,1.066,1322.16617,4.16,Mass,4.07,0.92,0.34,254.0,0,,5746.0,1.7,1.13,0.452,4.03,835.455,13.2514,-40.47730254491407,1.2046302055137657,No
2848,Kepler-1705 b,Kepler-1705,1,2,Transit,2014,9.03502,0.08,2.03,0.181,4.47,0.01406,Mass,2.977353,0.033,91.74,789.0,1,,6312.0,1.26,1.14,0.354,4.3,1633.49,15.4974,834.4666767954817,0.05322185249613931,No
2849,Kepler-1705 c,Kepler-1705,1,2,Transit,2021,11.28,,2.05,0.183,5.42,0.01705,Mass,3.528714,0.028,,,1,,6312.0,1.26,1.14,0.354,4.3,1633.49,15.4974,,,No
2850,Kepler-1708 b,Kepler-1708,1,1,Transit,2021,737.1131,1.64,9.96,0.889,1462.01067,4.6,Mass,,0.4,0.56,,0,,6157.0,1.12,1.09,0.182,4.37,1666.69,15.6837,-48.17282573128088,1.329976134880299,No
2851,Kepler-1709 b,Kepler-1709,1,1,Transit,2021,65.70459747,0.3192,3.124,0.279,9.93,0.0312,M-R relationship,1.79,0.0,10.02,472.0,0,,5918.0,1.04,1.0,0.115,4.4,273.946,11.6176,199.17660165569015,0.279616556268491,No
2852,Kepler-171 b,Kepler-171,1,3,Transit,2014,4.166972,0.05,2.34,0.209,6.08,0.0191,M-R relationship,2.61,0.0,304.18,1053.0,0,,5642.0,0.84,0.91,-0.079,4.57,863.855,14.9053,749.3655928007461,0.0547608277683368,No
2853,Kepler-171 c,Kepler-171,1,3,Transit,2014,11.463462,0.098,2.56,0.228,7.08,0.0223,M-R relationship,2.32,0.0,78.91,752.0,0,,5642.0,0.84,0.91,-0.079,4.57,863.855,14.9053,457.2182805719616,0.10733122242594013,No
2854,Kepler-171 d,Kepler-171,1,3,Transit,2014,39.595519,0.223,1.89,0.169,4.23,0.0133,M-R relationship,3.44,0.0,15.1,497.0,1,,5642.0,0.84,0.91,-0.079,4.57,863.855,14.9053,211.0251660012578,0.24423329184678214,No
2855,Kepler-1710 b,Kepler-1710,1,1,Transit,2021,14.91110039,0.1159,3.197,0.285,10.3,0.0325,M-R relationship,1.73,0.0,49.29,694.0,0,,5650.0,0.9,0.93,-0.143,4.5,305.193,12.5606,423.0118200252849,0.13664175644395474,No
2856,Kepler-1711 b,Kepler-1711,1,1,Transit,2021,21.06080055,0.1463,1.923,0.172,4.36,0.0137,M-R relationship,3.37,0.0,47.39,669.0,0,,5706.0,1.03,0.94,0.01,4.38,590.268,13.1844,396.28811157455596,0.14462531774831017,No
2857,Kepler-1712 b,Kepler-1712,1,1,Transit,2021,13.81499958,0.0903,2.284,0.204,5.83,0.0184,M-R relationship,2.69,0.0,5.52,391.0,0,,3732.0,0.51,0.52,-1.179,4.74,156.264,14.1997,119.01159905611621,0.35090354065281737,No
2858,Kepler-1713 b,Kepler-1713,1,1,Transit,2021,18.01160049,0.1469,1.717,0.153,3.59,0.0113,M-R relationship,3.9,0.0,150.48,900.0,0,,6477.0,1.46,1.3,0.486,4.22,295.293,10.8652,629.712559633092,0.08395021172709728,No
2859,Kepler-1714 b,Kepler-1714,1,1,Transit,2021,10.27530003,0.1047,3.264,0.291,10.7,0.0337,M-R relationship,1.69,0.0,522.13,1211.0,0,,6150.0,2.09,1.45,0.76,3.96,409.46,10.9663,941.7964455405107,0.04364622444934412,No
2860,Kepler-1715 b,Kepler-1715,1,1,Transit,2021,35.59730148,0.2178,4.14,0.369,16.0,0.0504,M-R relationship,1.24,0.0,33.49,646.0,0,,6212.0,1.21,1.08,0.417,4.31,522.605,12.3012,374.2570305039891,0.13475902974109447,No
2861,Kepler-1716 b,Kepler-1716,1,1,Transit,2021,35.58100128,0.1916,2.425,0.216,6.46,0.0203,M-R relationship,2.49,0.0,6.22,408.0,0,,4894.0,0.68,0.75,-0.624,4.64,195.439,12.9403,134.51449218550442,0.3930026734629783,No
2862,Kepler-1717 b,Kepler-1717,1,1,Transit,2021,30.65279961,0.2014,2.989,0.267,9.21,0.029,M-R relationship,1.89,0.0,87.69,780.0,0,,6200.0,1.64,1.16,0.593,4.07,1008.79,13.3,509.1369711570677,0.10175586869094745,No
2863,Kepler-1718 b,Kepler-1718,1,1,Transit,2021,135.1880035,0.4878,2.569,0.229,7.12,0.0224,M-R relationship,2.31,0.0,3.33,345.0,0,,5731.0,0.91,0.85,-0.04,4.45,375.522,12.735,72.9586261280744,0.5107893057392288,No
2864,Kepler-1719 b,Kepler-1719,1,1,Transit,2021,6.14955998,0.0674,3.95,0.352,14.8,0.0465,M-R relationship,1.32,0.0,649.26,1287.0,0,,5687.0,1.78,1.08,0.526,3.97,905.406,13.3258,1019.0968968354115,0.036784079837551664,No
2865,Kepler-172 b,Kepler-172,1,4,Transit,2014,2.940309,0.04,2.35,0.21,6.12,0.0193,M-R relationship,2.59,0.0,639.48,1256.0,0,,5526.0,1.08,1.0,-0.032,4.38,828.592,14.5369,996.4735792178936,0.04150113663272051,No
2866,Kepler-172 c,Kepler-172,1,4,Transit,2014,6.388996,0.068,2.86,0.255,8.55,0.0269,M-R relationship,2.01,0.0,227.22,970.0,0,,5526.0,1.08,1.0,-0.032,4.38,828.592,14.5369,700.6068342752102,0.07055193227562487,No
2867,Kepler-172 d,Kepler-172,1,4,Transit,2014,14.627119,0.118,2.25,0.201,5.69,0.0179,M-R relationship,2.74,0.0,75.29,736.0,0,,5526.0,1.08,1.0,-0.032,4.38,828.592,14.5369,466.05342671679296,0.12242835306652548,No
2868,Kepler-172 e,Kepler-172,1,4,Transit,2014,35.118736,0.211,2.76,0.246,8.05,0.0253,M-R relationship,2.1,0.0,23.43,550.0,0,,5526.0,1.08,1.0,-0.032,4.38,828.592,14.5369,279.6445433757301,0.21891849573760067,No
2869,Kepler-1720 b,Kepler-1720,1,1,Transit,2021,12.70639992,0.1043,3.216,0.287,10.4,0.0328,M-R relationship,1.72,0.0,55.86,697.0,0,,5573.0,0.84,0.94,-0.336,4.56,629.445,14.6634,426.1584059806097,0.15356219400373258,No
2870,Kepler-1721 b,Kepler-1721,1,1,Transit,2021,4.59238005,0.0519,3.119,0.278,9.9,0.0312,M-R relationship,1.79,0.0,172.6,924.0,0,,5351.0,0.8,0.89,-0.407,4.58,641.374,14.8762,655.770361137914,0.08292153975814343,No
2871,Kepler-1722 b,Kepler-1722,1,1,Transit,2021,9.17856979,0.0819,2.867,0.256,8.58,0.027,M-R relationship,2.0,0.0,76.14,753.0,0,,5506.0,0.79,0.88,-0.17,4.58,772.283,14.8579,482.9687690214796,0.09960563345293755,No
2872,Kepler-1723 b,Kepler-1723,1,1,Transit,2021,39.75289917,0.2249,2.88,0.257,8.65,0.0272,M-R relationship,1.99,0.0,24.54,568.0,0,,6072.0,1.01,0.96,0.034,4.41,811.278,14.2875,295.8076469808974,0.21626660140848614,No
2873,Kepler-1724 b,Kepler-1724,1,1,Transit,2021,6.45442009,0.0683,2.837,0.253,8.43,0.0265,M-R relationship,2.03,0.0,234.98,999.0,0,,6092.0,0.94,1.02,0.055,4.5,1060.77,14.8169,726.1495375320375,0.06410925110470683,No
2874,Kepler-1725 b,Kepler-1725,1,1,Transit,2021,16.71990013,0.1302,2.813,0.251,8.31,0.0261,M-R relationship,2.05,0.0,74.26,767.0,0,,6020.0,1.08,1.05,0.199,4.39,558.652,13.0267,493.4787351944068,0.10354067317244818,No
2875,Kepler-1726 b,Kepler-1726,1,1,Transit,2021,18.39629936,0.1306,2.509,0.224,6.84,0.0215,M-R relationship,2.38,0.0,27.09,582.0,0,,5316.0,0.8,0.88,-0.37,4.57,390.552,13.6766,308.60562891256563,0.19996002249567313,No
2876,Kepler-1727 b,Kepler-1727,1,1,Transit,2021,9.02929974,0.0796,3.173,0.283,10.2,0.0321,M-R relationship,1.75,0.0,77.75,757.0,0,,5349.0,0.82,0.82,-0.251,4.53,894.187,15.3759,485.9608642634448,0.10627058412916478,No
2877,Kepler-1728 b,Kepler-1728,1,1,Transit,2021,4.78299999,0.0535,2.955,0.264,9.04,0.0284,M-R relationship,1.93,0.0,145.48,886.0,0,,5170.0,0.81,0.89,-0.416,4.57,651.783,15.084,616.3344872515903,0.086368182790217,No
2878,Kepler-1729 b,Kepler-1729,1,1,Transit,2021,4.22097015,0.0418,3.894,0.347,14.4,0.0454,M-R relationship,1.34,0.0,29.68,595.0,0,,3837.0,0.52,0.54,-0.663,4.75,576.181,15.6458,325.2444362977915,0.08967601104109663,No
2879,Kepler-173 b,Kepler-173,1,2,Transit,2014,4.263742,0.048,1.29,0.115,2.21,0.00696,M-R relationship,5.66,0.0,599.5,1179.0,0,,6031.0,0.95,0.79,0.074,4.4,833.165,14.2578,913.1997121652038,0.04407996463121189,No
2880,Kepler-173 c,Kepler-173,1,2,Transit,2014,8.005777,0.074,2.43,0.217,6.48,0.0204,M-R relationship,2.48,0.0,258.42,956.0,0,,6031.0,0.95,0.79,0.074,4.4,833.165,14.2578,682.3209515053096,0.06795661213978499,No
2881,Kepler-1730 b,Kepler-1730,1,1,Transit,2021,13.81019974,0.1131,4.485,0.4,18.4,0.0577,M-R relationship,1.12,0.0,113.75,833.0,0,,5942.0,1.14,1.01,0.075,4.33,1427.08,15.3758,560.9843144331277,0.10374390829258408,No
2882,Kepler-1731 b,Kepler-1731,1,1,Transit,2021,21.76129913,0.1401,2.933,0.262,8.92,0.0281,M-R relationship,1.94,0.0,13.18,486.0,0,,4859.0,0.72,0.78,-0.6,4.61,169.948,12.4974,213.90308266586504,0.2795362503271401,No
2883,Kepler-1732 b,Kepler-1732,1,1,Transit,2021,32.31240082,0.2015,4.099,0.366,15.7,0.0496,M-R relationship,1.25,0.0,27.05,699.0,0,,5821.0,1.49,1.04,0.296,4.11,1289.41,14.7163,426.7490838802404,0.14330952300114583,No
2884,Kepler-1733 b,Kepler-1733,1,1,Transit,2021,9.22957993,0.0933,3.636,0.324,12.8,0.0404,M-R relationship,1.46,0.0,257.11,1021.0,0,,6320.0,1.25,1.27,0.43,4.35,2080.51,15.357,749.7036039617304,0.05686979251250778,No
2885,Kepler-1734 b,Kepler-1734,1,1,Transit,2021,6.7968502,0.0714,3.089,0.276,9.74,0.0306,M-R relationship,1.82,0.0,222.91,985.0,0,,6061.0,0.97,1.05,0.144,4.49,1482.83,15.3171,714.6368995254118,0.06049203736963859,No
2886,Kepler-1735 b,Kepler-1735,1,1,Transit,2021,7.71792984,0.0621,1.194,0.107,1.84,0.00578,M-R relationship,5.94,0.0,15.01,502.0,0,,3975.0,0.51,0.54,-1.193,4.75,245.303,15.2237,230.53455953645744,0.24524016529571363,No
2887,Kepler-1736 b,Kepler-1736,1,1,Transit,2021,37.81029892,0.2188,3.877,0.346,14.3,0.0451,M-R relationship,1.35,0.0,24.27,566.0,0,,6085.0,0.97,0.98,0.402,4.45,1430.0,14.6161,293.3566440333201,0.13773595280915482,No
2888,Kepler-1737 b,Kepler-1737,1,1,Transit,2021,64.61750031,0.297,5.395,0.481,25.1,0.079,M-R relationship,0.878,0.0,5.09,383.0,0,,5043.0,0.88,0.83,-0.344,4.47,,15.3741,110.67591718300326,0.441322885759241,No
2889,Kepler-1738 b,Kepler-1738,1,1,Transit,2021,7.67463016,0.0781,2.825,0.252,8.37,0.0263,M-R relationship,2.04,0.0,198.67,957.0,0,,6063.0,1.0,1.08,-0.005,4.47,1302.87,15.4178,686.1275219774982,0.07855087622043576,No
2890,Kepler-1739 b,Kepler-1739,1,1,Transit,2021,7.34370995,0.0697,2.431,0.217,6.48,0.0204,M-R relationship,2.48,0.0,117.5,839.0,0,,5757.0,0.76,0.86,-0.14,4.6,783.666,14.6422,567.410259539124,0.08189035957928521,No
2891,Kepler-174 b,Kepler-174,1,3,Transit,2014,13.98179,0.1,1.96,0.175,4.5,0.0142,M-R relationship,3.28,0.0,24.42,553.0,0,,4880.0,0.62,0.6,-0.57,4.68,384.757,14.2858,264.126547288928,0.1927524913190936,No
2892,Kepler-174 c,Kepler-174,1,3,Transit,2014,44.000529,0.214,1.49,0.133,2.83,0.00889,M-R relationship,4.7,0.0,5.3,377.0,0,,4880.0,0.62,0.6,-0.57,4.68,384.757,14.2858,94.12468664711218,0.4124903314228603,No
2893,Kepler-174 d,Kepler-174,1,3,Transit,2014,247.35373,0.677,2.19,0.195,5.43,0.0171,M-R relationship,2.84,0.0,0.53,212.0,0,,4880.0,0.62,0.6,-0.57,4.68,384.757,14.2858,-66.65784855931113,1.304934366230264,Possible
2894,Kepler-1740 b,Kepler-1740,1,1,Transit,2021,8.17240047,0.0779,3.323,0.296,11.0,0.0347,M-R relationship,1.65,0.0,127.95,858.0,0,,5705.0,0.91,0.94,-0.079,4.5,1061.77,15.2863,589.0138970079688,0.08531736966306873,No
2895,Kepler-1741 b,Kepler-1741,1,1,Transit,2021,2.75759006,0.0296,1.273,0.114,2.16,0.00681,M-R relationship,5.75,0.0,33.79,615.0,0,,3683.0,0.42,0.45,-1.242,4.84,270.739,15.6903,340.27677086645144,0.12367778852740005,No
2896,Kepler-1742 b,Kepler-1742,1,1,Transit,2021,49.47819901,0.2587,2.178,0.194,5.38,0.0169,M-R relationship,2.86,0.0,10.73,462.0,0,,5776.0,0.85,0.94,-0.184,4.55,669.573,14.3735,189.78567494766548,0.3197396010320948,No
2897,Kepler-1743 b,Kepler-1743,1,1,Transit,2021,7.64971018,0.0822,1.599,0.143,3.18,0.01,M-R relationship,4.28,0.0,404.99,1144.0,0,,5855.0,1.61,1.27,0.599,4.12,538.807,11.9354,872.5901847658955,0.04124504839681746,No
2898,Kepler-1744 b,Kepler-1744,1,1,Transit,2021,37.10110092,0.2093,3.768,0.336,13.6,0.0429,M-R relationship,1.4,0.0,18.95,532.0,0,,5986.0,0.85,0.89,-0.098,4.53,1091.63,15.2558,260.23865971541704,0.23429834900967483,No
2899,Kepler-1745 b,Kepler-1745,1,1,Transit,2021,3.01619005,0.0408,1.929,0.172,4.38,0.0138,M-R relationship,3.35,0.0,1044.49,1449.0,0,,5611.0,1.4,0.99,0.007,4.14,996.105,14.8649,1180.1538424321507,0.04047251224095453,No
2900,Kepler-1746 b,Kepler-1746,1,1,Transit,2021,321.2120056,0.9453,8.935,0.797,59.1,0.186,M-R relationship,0.455,0.0,2.17,310.0,0,,6018.0,1.29,1.09,0.496,4.26,979.541,13.4903,37.69538675720605,0.5340349222900697,No
2901,Kepler-1747 b,Kepler-1747,1,1,Transit,2021,6.23031998,0.066,4.265,0.381,16.8,0.053,M-R relationship,1.19,0.0,138.33,875.0,0,,5477.0,0.86,0.98,-0.205,4.56,1321.38,15.9687,601.0327160847429,0.08356875565572232,No
2902,Kepler-1748 b,Kepler-1748,1,1,Transit,2021,5.82352018,0.0615,2.713,0.242,7.81,0.0246,M-R relationship,2.15,0.0,196.33,955.0,0,,5774.0,0.86,0.92,-0.35,4.53,1083.28,15.8529,681.5582249224263,0.09201849284980765,No
2903,Kepler-1749 b,Kepler-1749,1,1,Transit,2021,14.53409958,0.0956,1.613,0.144,3.23,0.0102,M-R relationship,4.23,0.0,7.34,420.0,0,,3957.0,0.55,0.55,-0.95,4.69,268.2,14.6958,146.51298528740506,0.2854025783685569,No
2904,Kepler-175 b,Kepler-175,1,2,Transit,2014,11.903515,0.105,2.56,0.228,7.08,0.0223,M-R relationship,2.32,0.0,129.64,827.0,0,,6064.0,1.01,1.12,0.194,4.47,1312.34,14.9115,558.4365314275321,0.08398259677573798,No
2905,Kepler-175 c,Kepler-175,1,2,Transit,2014,34.035257,0.213,3.1,0.277,9.8,0.0308,M-R relationship,1.81,0.0,31.95,583.0,0,,6064.0,1.01,1.12,0.194,4.47,1312.34,14.9115,310.7148017078615,0.17036469631649706,No
2906,Kepler-1750 b,Kepler-1750,1,1,Transit,2021,205.9120026,0.6785,6.004,0.536,30.1,0.0947,M-R relationship,0.764,0.0,1.85,298.0,0,,5644.0,0.97,0.98,0.061,4.46,1497.33,15.5339,25.237182047164936,0.6324844491267811,No
2907,Kepler-1751 b,Kepler-1751,1,1,Transit,2021,7.01731014,0.0712,1.824,0.163,3.98,0.0125,M-R relationship,3.6,0.0,221.46,984.0,0,,6052.0,0.97,0.97,0.036,4.46,1291.47,15.232,714.5544409570261,0.06830932496393444,No
2908,Kepler-1752 b,Kepler-1752,1,1,Transit,2021,56.35850143,0.2698,4.541,0.405,18.7,0.059,M-R relationship,1.1,0.0,7.29,419.0,0,,5446.0,0.82,0.82,-0.398,4.53,962.888,15.796,146.6532605180342,0.42662072099514936,No
2909,Kepler-1753 b,Kepler-1753,1,1,Transit,2021,16.00460052,0.1179,2.227,0.199,5.59,0.0176,M-R relationship,2.78,0.0,27.41,583.0,0,,5180.0,0.77,0.86,-0.56,4.6,707.688,15.5134,312.1795322470796,0.22465381864786688,No
2910,Kepler-1754 b,Kepler-1754,1,1,Transit,2021,8.19594955,0.0718,2.44,0.218,6.53,0.0205,M-R relationship,2.47,0.0,48.2,672.0,0,,4723.0,0.75,0.73,-0.612,4.56,718.945,15.8578,401.7952914277937,0.1452527770290999,No
2911,Kepler-1755 b,Kepler-1755,1,1,Transit,2021,24.81209946,0.1668,5.917,0.528,29.4,0.0924,M-R relationship,0.78,0.0,37.43,631.0,0,,6086.0,0.92,1.0,0.274,4.51,982.383,14.3856,358.83978006517054,0.12167351271046208,No
2912,Kepler-1756 b,Kepler-1756,1,1,Transit,2021,2.35575008,0.0319,1.472,0.131,2.77,0.00871,M-R relationship,4.77,0.0,338.4,1093.0,0,,4915.0,0.81,0.78,-0.459,4.51,,15.6634,821.9478009914832,0.05411163831209663,No
2913,Kepler-1757 b,Kepler-1757,1,1,Transit,2021,19.65640068,0.1335,2.947,0.263,8.99,0.0283,M-R relationship,1.93,0.0,21.5,549.0,0,,5288.0,0.74,0.83,-0.369,4.61,807.308,15.3679,277.33931064053104,0.20416498714690695,No
2914,Kepler-1758 b,Kepler-1758,1,1,Transit,2021,9.97721005,0.0919,2.571,0.229,7.13,0.0224,M-R relationship,2.31,0.0,93.64,1028.0,0,,5557.0,1.62,1.04,0.485,4.04,1588.41,14.9449,758.4762044398936,0.0525793861325488,No
2915,Kepler-1759 b,Kepler-1759,1,1,Transit,2021,3.7202301,0.0429,0.904,0.081,0.676,0.00213,M-R relationship,5.03,0.0,195.7,954.0,0,,5017.0,0.8,0.76,-0.563,4.52,385.348,14.2601,684.7996106185449,0.08202708762553448,No
2916,Kepler-176 b,Kepler-176,1,4,Transit,2014,5.433074,0.058,1.43,0.128,2.63,0.00829,M-R relationship,4.94,0.0,123.8,841.0,0,,5232.0,0.89,0.79,-0.404,4.47,527.321,14.5446,633.0643993704132,0.09234810616896787,No
2917,Kepler-176 c,Kepler-176,1,4,Transit,2014,12.759712,0.102,2.6,0.232,23.0,0.072,Mass,7.19,0.0,39.63,633.0,1,,5232.0,0.89,0.79,-0.404,4.47,527.321,14.5446,410.20262896471104,0.16240529015921934,No
2918,Kepler-176 d,Kepler-176,1,4,Transit,2014,25.751974,0.163,2.51,0.224,15.2,0.048,Mass,5.28,0.0,15.54,501.0,1,,5232.0,0.89,0.79,-0.404,4.47,527.321,14.5446,267.4190207080203,0.2595300225093407,No
